name,review_count,rating,price,category,city,state,zip_code,delivery,pickup,restaurant reservation,vagen_options,street parking,wheelchair accessible,free wi-fi,accepts credit card,accepts apple pay,accepts android pay,outdoor seating,casual dress,good for kids,bike parking,tv,waiter service,full bar,dogs allowed
Junoon,1482,3.5,3,indpak,New York,NY,10010,1,0,0,1,0,1,1,1,0,0,1,0,0,1,0,1,1,0
Khe-Yo,789,4,2,laotian,New York,NY,10013,1,1,0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1
Wolfgang's Steakhouse,983,4,4,steak,New York,NY,10016,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,1,1,0
Briciola,856,4,2,italian,New York,NY,10019,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0
Double Zero,534,4.5,2,pizza,New York,NY,10003,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
Rex,559,4.5,1,coffee,New York,NY,10019,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,0
Chow House,415,4.5,2,szechuan,New York,NY,10012,1,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,1,1
Ess-A-Bagel,878,4,1,bagels,New York,NY,10009,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
Spice Symphony,521,4.5,2,chinese,New York,NY,10022,1,1,0,1,1,1,1,1,1,0,1,0,1,0,0,1,1,0
Black Iron Burger,974,4,2,burgers,New York,NY,10018,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0
Spice Symphony,609,4,2,indpak,New York,NY,10016,1,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1,1,0
Juice Vitality,193,5,1,juicebars,New York,NY,10009,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Loring Place,438,4.5,3,desserts,New York,NY,10011,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0
Seven Grams Caffe,447,4.5,2,coffee,New York,NY,10001,1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,0
Tia Pol,704,4,2,tapas,New York,NY,10011,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
POST,268,4.5,2,breakfast_brunch,New York,NY,10009,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,1,0
MarieBelle,523,4,3,chocolate,New York,NY,10013,1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0
The Capital Grille,604,4,3,seafood,New York,NY,10271,1,1,0,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0
Tartine,997,4,2,french,New York,NY,10014,1,1,0,1,1,1,0,0,0,0,1,1,0,0,0,1,0,1
Carmine's Italian Restaurant - Upper West Side,1431,4,2,italian,New York,NY,10024,1,1,0,1,0,1,1,1,1,0,1,1,1,0,1,1,1,0
Yoon Haeundae Galbi,501,4.5,3,korean,New York,NY,10018,1,1,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,0
Empire Cake,604,4,2,bakeries,New York,NY,10011,1,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0
Klong,1120,4,2,thai,New York,NY,10003,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0
Aqua Boil,360,4.5,2,seafood,New York,NY,10019,1,1,1,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0
B&H Dairy,481,4.5,1,vegetarian,New York,NY,10003,1,1,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0
Buenos Aires,568,4,3,argentine,New York,NY,10009,1,1,1,0,1,0,1,1,1,0,1,1,1,1,1,0,1,0
Ivan Ramen,1333,3.5,2,ramen,New York,NY,10002,1,1,0,1,1,0,1,1,0,0,1,0,1,1,0,1,0,0
Miss KOREA BBQ,1878,3.5,2,korean,New York,NY,10001,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,0
Keki Modern Cakes,358,4.5,2,bakeries,New York,NY,10016,1,1,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0
Hao Noodle - West Village,768,4,2,chinese,New York,NY,10014,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0
Antica Ristorante,503,4.5,3,italian,New York,NY,10004,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
Tim Ho Wan,1715,3.5,2,dimsum,New York,NY,10003,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0
Superiority Burger,613,4,1,burgers,New York,NY,10009,1,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0,0,0
Forlini's Restaurant,459,4.5,3,italian,New York,NY,10013,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0
Samba Kitchen,455,4.5,2,brazilian,New York,NY,10019,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,0
Tao Downtown,1444,3.5,3,lounges,New York,NY,10011,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
Billy's Bakery,1244,3.5,2,bakeries,New York,NY,10011,1,0,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0
Udon Izakaya West 46 Midtown,1038,4,2,noodles,New York,NY,10017,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0,1,1,0
Kashkaval Garden,584,4,2,mediterranean,New York,NY,10019,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,1,0
Pasticceria Rocco,1042,4,2,bakeries,New York,NY,10014,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0
Spaghetti Incident,602,4,2,italian,New York,NY,10002,1,1,0,0,1,0,1,0,0,0,1,1,1,0,0,1,0,0
Uncle Gussy's,461,4.5,1,foodtrucks,New York,NY,10154,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Pepolino Restaurant,562,4,3,tuscan,New York,NY,10013,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0
The Musket Room,486,4,3,newamerican,New York,NY,10012,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,1,0
Uluh,422,4.5,3,tea,New York,NY,10003,1,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
Barbounia,1298,3.5,3,greek,New York,NY,10003,1,1,0,1,1,1,0,1,0,0,1,1,0,0,0,1,1,0
The Penrose,1221,4,2,gastropubs,New York,NY,10028,1,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0
Punjabi Grocery & Deli,413,4.5,1,indpak,New York,NY,10009,1,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
Totto Ramen Hell's Kitchen,1087,4,2,ramen,New York,NY,10019,1,1,0,1,1,1,0,1,0,0,0,0,1,1,0,1,0,0
Waldy's Wood Fired Pizza & Penne,823,4,1,pizza,New York,NY,10001,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0
The Meatball Shop,893,4,2,italian,New York,NY,10011,1,1,0,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1
Ofrenda,995,4,2,mexican,New York,NY,10014,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0
Ten Degrees Bar,820,4,2,gastropubs,New York,NY,10009,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0
Saluggi's,562,4,2,pizza,New York,NY,10013,1,1,0,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0
Chama Mama,387,4.5,2,georgian,New York,NY,10011,1,1,0,1,0,1,1,1,1,0,1,0,1,1,0,1,1,0
Urban Backyard,178,5,2,coffee,New York,NY,10012,1,0,0,0,1,0,1,1,1,1,1,0,0,1,0,0,0,1
Nish Nush,315,4.5,2,vegetarian,New York,NY,10038,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,0,0,0
Tacombi - Nolita,1131,3.5,2,mexican,New York,NY,10012,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0
Osamil,439,4.5,2,korean,New York,NY,10001,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0
Le Coucou,571,4,4,french,New York,NY,10013,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0
Gray's Papaya,1371,3.5,1,hotdog,New York,NY,10023,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0
Yakiniku West,698,4,2,japanese,New York,NY,10003,1,1,0,0,1,1,1,1,0,0,1,0,1,0,0,1,1,0
Pio Pio 7,832,4,2,latin,New York,NY,10016,1,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0
Harry's,699,4,3,steak,New York,NY,10004,1,1,0,0,1,1,1,1,0,0,0,1,0,1,0,1,1,0
Tableside Italian Cook Shoppe,289,4.5,3,italian,New York,NY,10003,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,0
The Flying Cock,609,4,2,pubs,New York,NY,10016,1,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,0
Mango Mango Dessert - New York,670,4,1,desserts,New York,NY,10013,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,1
Robert,919,4,3,newamerican,New York,NY,10019,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0
Paul's Da Burger Joint,995,4,2,burgers,New York,NY,10003,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0
Arturo's,699,4,2,pizza,New York,NY,10012,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1,0,1,0
Ravagh Persian Grill,797,4,2,mideastern,New York,NY,10016,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,0
Tomi Jazz,487,4,2,japanese,New York,NY,10022,1,1,0,0,1,0,0,1,0,0,1,1,0,1,1,1,1,0
Hide-Chan Ramen,1336,3.5,2,ramen,New York,NY,10022,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0
Amor y Amargo,470,4,2,cocktailbars,New York,NY,10009,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,1
Momoya,681,4,2,sushi,New York,NY,10011,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,0,0,0
Da Tang Szechuan,262,4.5,2,szechuan,New York,NY,10018,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,1
Quantum Leap,662,4,2,vegetarian,New York,NY,10012,1,1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,0,0
Souvlaki GR,897,4,2,greek,New York,NY,10002,1,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0
Duane Park,484,4.5,4,supperclubs,New York,NY,10012,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
Pure Ktchn,323,4.5,2,salad,New York,NY,10036,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,0
Haswell Green's,331,4.5,2,newamerican,New York,NY,10019,1,1,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1,1
Golden Unicorn,1802,3.5,2,dimsum,New York,NY,10002,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,0,0
Senza Gluten,586,4,2,italian,New York,NY,10012,1,1,0,1,1,0,1,1,0,0,1,1,1,0,0,1,1,0
Cascalote Latin Bistro,365,4.5,2,latin,New York,NY,10029,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0
Attaboy,565,4,2,cocktailbars,New York,NY,10002,1,0,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0
Patrizia's Pizza and Pasta,643,4,2,italian,New York,NY,10016,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0
Rosie's,756,4,2,mexican,New York,NY,10003,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1
Decoy,429,4,3,chinese,New York,NY,10014,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0
Vic's,495,4,2,italian,New York,NY,10012,1,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1,1,0
Earl's Beer & Cheese,600,4.5,2,bars,New York,NY,10029,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0
Catch NYC,2344,3.5,3,asianfusion,New York,NY,10014,1,1,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,0
Let's Meat,1142,4,3,korean,New York,NY,10016,1,1,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1
The Jolly Goat Coffee Bar,354,4.5,1,coffee,New York,NY,10036,1,1,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0
Topaz Noodle Bar,671,4,2,thai,New York,NY,10019,1,1,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0
Soba Totto,899,4,2,japanese,New York,NY,10017,1,1,0,0,1,1,0,1,0,0,0,0,0,1,0,1,1,0
ABC Cocina,908,4,3,tapasmallplates,New York,NY,10003,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0
Congee Village,1608,3.5,2,cantonese,New York,NY,10002,1,1,0,1,1,1,1,1,0,0,1,0,1,1,1,1,1,0
Pocha 32,1544,3.5,2,korean,New York,NY,10001,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
Avant Garden,346,4.5,3,newamerican,New York,NY,10009,1,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0,0
Sukhumvit 51,761,4,2,thai,New York,NY,10022,1,1,0,1,1,0,1,1,0,0,1,0,0,1,0,1,0,0
Motorino,1080,3.5,2,pizza,New York,NY,10003,1,1,0,1,1,0,0,1,0,0,0,1,1,1,0,0,0,0
Big Gay Ice Cream Shop,1172,3.5,1,desserts,New York,NY,10014,1,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0
Bodhi Kosher Vegetarian Restaurant,410,4.5,2,vegan,New York,NY,10013,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,1,0,0
BLVD Bistro,968,4,2,tradamerican,New York,NY,10026,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0
Rafele Ristorante,484,4,3,italian,New York,NY,10014,1,1,0,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0
Sigiri,609,4,2,srilankan,New York,NY,10003,1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0
Sofia Wine Bar,657,4,2,italian,New York,NY,10022,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
Samwon Garden Korean BBQ,571,4,3,korean,New York,NY,10001,1,0,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,0
L'ADRESSE,657,4,2,newamerican,New York,NY,10018,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,1,0
Virgil's Real BBQ - New York,1598,3.5,2,bbq,New York,NY,10036,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1,0
Pi Bakerie,283,4.5,2,bakeries,New York,NY,10013,1,1,0,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0
Stone Bridge Pizza & Salad,283,4.5,2,pizza,New York,NY,10017,1,1,0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0
Pocket Bar NYC,285,4.5,2,wine_bars,New York,NY,10019,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Noreetuh,456,4,3,newamerican,New York,NY,10009,1,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0
Hao Noodle Chelsea,431,4.5,2,chinese,New York,NY,10014,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0
Starbucks Reserve Roastery New York,582,4,2,coffeeroasteries,New York,NY,10011,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0
dell'anima,644,4,3,italian,New York,NY,10036,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1,0
Yonah Schimmel's Knish Bakery,650,4,1,kosher,New York,NY,10002,1,1,0,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0
Jin Ramen,937,4,2,ramen,New York,NY,10024,1,1,0,1,1,1,0,1,0,0,1,0,1,1,0,1,1,0
The Cellar,663,4,2,wine_bars,New York,NY,10003,0,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,1,0
15 East Restaurant,630,4,4,japanese,New York,NY,10003,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0
Il Mulino New York - Downtown,556,4,4,italian,New York,NY,10012,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
Szechuan Mountain House,402,4,2,szechuan,New York,NY,10003,1,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0
Casa Adela,485,4,2,latin,New York,NY,10009,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0
Mah-Ze-Dahr Bakery,344,4.5,2,bakeries,New York,NY,10011,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,0,0
Mari Vanna,669,4,3,russian,New York,NY,10003,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,1,0
Tomiño Taberna Gallega,282,4.5,3,wine_bars,New York,NY,10013,1,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0
New Territories,459,4,2,desserts,New York,NY,10002,1,1,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0
Excellent Dumpling House,657,4,2,dimsum,New York,NY,10011,1,1,0,1,1,1,0,1,0,0,1,0,1,0,0,1,0,0
Ginger and Lemongrass,415,4,2,vietnamese,New York,NY,10002,1,1,0,1,1,1,0,1,0,0,0,0,1,1,1,1,1,0
Rosa Mexicano,1481,3.5,2,mexican,New York,NY,10003,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,0,1,0
Rocco Steakhouse,368,4.5,3,tradamerican,New York,NY,10016,1,1,0,0,1,1,1,1,0,0,0,1,1,0,1,1,1,0
Posto,618,4,2,pizza,New York,NY,10003,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,1,0,1
The Burrito Box,895,4,1,mexican,New York,NY,10019,1,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0
The Breslin,1577,3.5,3,gastropubs,New York,NY,10001,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,0
Nishida Sho-ten,786,4,2,ramen,New York,NY,10017,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0
Mille-Feuille Bakery,505,4,2,bakeries,New York,NY,10012,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,0,0
Tara Rose,335,4.5,2,cocktailbars,New York,NY,10016,1,1,1,1,0,1,1,1,0,0,1,1,0,0,1,1,1,0
Patisserie Chanson,431,4,2,desserts,New York,NY,10010,1,1,0,1,0,1,1,1,1,1,0,0,1,1,0,1,1,0
Mughlai Indian Cuisine,510,4.5,2,indpak,New York,NY,10128,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,1,0,0
Balade - Your Way,359,4.5,2,lebanese,New York,NY,10018,1,1,0,1,1,1,0,1,0,0,0,1,1,1,0,0,0,0
Rockwood Music Hall,419,4.5,2,musicvenues,New York,NY,10002,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,1,0
Hot N Juicy Crawfish,524,4.5,2,cajun,New York,NY,10011,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0
Bar Verde,308,4.5,2,mexican,New York,NY,10003,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1
Alice's Tea Cup,1141,4,2,breakfast_brunch,New York,NY,10023,1,1,1,1,1,0,0,1,1,0,0,0,1,1,0,1,0,0
Tommy Bahama Restaurant | Bar | Store - New York,596,4,3,newamerican,New York,NY,10176,0,0,0,1,1,1,1,1,0,0,0,1,0,0,1,1,1,0
Boulton & Watt,678,4,2,newamerican,New York,NY,10009,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,0
The Grey Dog - Nolita,619,4,2,coffee,New York,NY,10012,1,1,0,1,1,0,1,1,0,0,1,0,1,0,1,0,0,0
The Horny Ram,543,4,2,newamerican,New York,NY,10022,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0
Qi,1227,3.5,2,thai,New York,NY,10036,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,0
Yakiniku Futago,367,4.5,4,japanese,New York,NY,10011,1,1,0,0,1,1,1,1,0,0,1,1,1,0,0,1,1,0
Aburiya Kinnosuke,757,4,3,tapasmallplates,New York,NY,10017,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,1,1,0
Teppen Ramen,436,4.5,2,ramen,New York,NY,10022,1,1,0,1,0,1,0,1,0,0,1,0,1,1,0,1,0,0
Almond,1026,4,2,newamerican,New York,NY,10010,1,1,0,1,0,1,1,1,0,0,1,1,1,1,1,1,1,0
Mei Jin Ramen,728,4,2,ramen,New York,NY,10028,1,1,0,0,1,1,0,1,0,0,0,1,0,1,0,1,1,0
Sullivan Street Bakery,515,4,2,bakeries,New York,NY,10036,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,0,0
Jadis,497,4,2,french,New York,NY,10002,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0
Kaoru,382,4.5,2,japanese,New York,NY,10017,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
Shinka Ramen & Sake Bar,359,4.5,2,ramen,New York,NY,10002,1,1,0,1,1,0,0,1,0,0,1,1,0,1,1,1,1,0
DORADO Tacos & Quesadillas,663,4,1,mexican,New York,NY,10003,1,1,0,1,1,0,0,1,1,1,1,0,1,1,0,0,0,0
Ruffian,214,4.5,2,wine_bars,New York,NY,10009,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0
Sagaponack,421,4,2,bars,New York,NY,10010,0,0,0,1,0,1,1,1,1,0,1,0,0,0,0,1,1,1
Lady M Cake Boutique,1236,3.5,2,desserts,New York,NY,10018,0,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0
Bowery Ballroom,376,4.5,2,musicvenues,New York,NY,10002,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
Raoul's Restaurant,522,4,3,french,New York,NY,10012,1,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,1,0
Ground Central,641,4,1,coffee,New York,NY,10022,1,1,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
Little Pie Company,721,4,2,bakeries,New York,NY,10036,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
Keybar,597,4,1,lounges,New York,NY,10009,0,0,0,0,1,1,1,1,0,0,1,1,0,0,0,0,1,0
Melba's Restaurant,1219,4,2,tradamerican,New York,NY,10026,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0
Las Ramblas,721,4,2,tapasmallplates,New York,NY,10014,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0
Luke's Lobster Upper West Side,697,4,2,seafood,New York,NY,10024,1,1,0,0,1,1,0,1,0,1,1,0,1,1,0,0,0,0
Bowery Meat Company,528,4,3,steak,New York,NY,10003,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,1,0
Barney Greengrass,771,4,2,gourmet,New York,NY,10024,1,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0
Brandy Library,606,4,3,newamerican,New York,NY,10013,1,0,1,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0
Aureole at Home,896,4,3,newamerican,New York,NY,10036,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0
Lillie's Victorian Establishment,1065,3.5,2,bars,New York,NY,10003,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0
The Bar Room,495,4,3,lounges,New York,NY,10019,0,0,0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,0
Avra Estiatorio,882,4,3,seafood,New York,NY,10017,1,1,0,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0
Sarabeths - Central Park,1843,3.5,2,breakfast_brunch,New York,NY,10019,1,1,0,0,1,1,0,1,0,0,1,1,1,1,1,1,1,0
Magnolia Bakery West Village,2434,3,2,bakeries,New York,NY,10014,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
Sushi Azabu,445,4,4,sushi,New York,NY,10013,1,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0
DokoDemo,316,4.5,1,teppanyaki,New York,NY,10003,1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,0,0,1
Gran Morsi,391,4.5,3,italian,New York,NY,10007,1,1,0,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1
Marseille,927,4,3,french,New York,NY,10036,1,1,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1,0
Howlin' Ray's,6711,4.5,2,southern,Los Angeles,CA,90012,1,0,0,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0
Wurstküche,8486,4,2,hotdog,Los Angeles,CA,90013,1,1,0,1,0,1,0,1,1,0,1,0,0,1,0,0,1,0
Daikokuya Little Tokyo,8693,4,2,ramen,Los Angeles,CA,90012,1,1,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,0
Slurpin' Ramen Bar - Los Angeles,4691,4.5,2,ramen,Los Angeles,CA,90005,1,1,0,1,0,1,1,1,0,0,0,0,1,0,0,1,0,0
Morrison Atwater Village,4604,4.5,2,gastropubs,Los Angeles,CA,90039,1,1,0,1,0,1,1,1,0,0,1,0,1,1,1,1,1,1
Republique,5708,4,2,french,Los Angeles,CA,90036,1,1,0,1,0,0,1,1,1,0,1,1,0,1,0,0,1,0
Bestia,6275,4.5,3,italian,Los Angeles,CA,90021,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,1,1,0
Kang Ho-dong Baekjeong,4377,4.5,2,bbq,Los Angeles,CA,90020,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0
Langer's Delicatessen,3878,4.5,2,delis,Los Angeles,CA,90057,1,0,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0
Perch,8339,4,3,lounges,Los Angeles,CA,90013,1,1,0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,0
Blu Jam Café,5419,4,2,newamerican,Los Angeles,CA,90046,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,1
Marugame Monzo,3851,4.5,2,japanese,Los Angeles,CA,90012,1,1,0,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0
SK Donuts & Croissant,2352,4.5,1,donuts,Los Angeles,CA,90036,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,1
Hae Jang Chon Korean BBQ Restaurant,5094,4,2,korean,Los Angeles,CA,90020,1,1,0,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0
Providence,2691,4.5,4,newamerican,Los Angeles,CA,90038,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0
Genwa Korean BBQ,2848,4.5,2,korean,Los Angeles,CA,90036,1,1,0,1,0,1,0,1,0,0,0,0,1,0,1,1,0,0
Masa of Echo Park,4294,4,2,pizza,Los Angeles,CA,90026,1,0,0,1,1,1,0,1,1,1,0,0,1,1,1,1,0,0
Eggslut,5873,4,1,breakfast_brunch,Los Angeles,CA,90013,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0
Monty's Good Burger,2174,4.5,2,burgers,Los Angeles,CA,90020,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,1
Yup Dduk LA,2122,4.5,2,korean,Los Angeles,CA,90020,1,1,0,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0
Salt & Straw,2167,4.5,2,icecream,Los Angeles,CA,90004,1,0,0,1,1,0,0,1,1,1,0,0,1,1,0,0,0,1
Sushi Gen,3813,4.5,3,sushi,Los Angeles,CA,90012,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0
Tea Master Matcha Cafe & Green Tea Shop,1513,5,1,coffee,Los Angeles,CA,90012,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,0,0
BCD Tofu House,4406,4,2,korean,Los Angeles,CA,90010,1,0,0,1,0,1,0,1,0,0,1,0,1,1,1,1,0,0
